Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Target
54.96714153011233,51.32278247216438,48.17177953384787,33.89180538083319,8.649643450051236,193.25958722514423
48.61735698828815,47.574454570399595,41.66778663936883,27.244071418357333,9.710962658568965,178.83779988470036
56.47688538100692,48.032061695267956,45.36039941456606,25.909005582888465,8.415160158000077,175.75899127079856
65.23029856408026,59.833207181053375,50.24342851814749,29.98312771294524,9.38407694072192,198.43772485855837
47.658466252766644,41.59133448924632,40.221442943054086,29.149076887375358,6.212770666092428,135.84692667083166
47.6586304305082,41.918516619927985,39.30736050067181,27.733859753363625,10.426587414745876,140.33461056862728
65.79212815507391,58.02812749108878,55.31928218414233,33.481937237283574,10.002410950724448,273.09924159003805
57.67434729152909,50.178931023016546,48.044993238269186,34.77652604285255,8.365822737863619,215.30489651074924
45.30525614065048,40.87177378247508,39.39286305847838,30.442034431459238,11.31849133686481,124.11529831352064
55.42560043585965,48.22114015945161,42.734774714006015,37.38765040527631,11.875140275253116,158.5214673753457
45.365823071875376,41.370154416247516,40.244840654403276,24.291554429332475,6.784880271262052,157.88056766466218
45.34270246429743,40.70795599896942,36.86696078551515,29.03170270360141,8.47455044286757,161.48925469225236
52.41962271566034,46.69976435036149,48.16148079040407,26.415888396985977,8.461715300425404,181.44448905182128
30.86719755342202,25.965350473996622,22.626194588468913,20.6673169146347,8.120193797782271,97.83613524650946
32.75082167486967,28.322196846246037,31.408548749391485,29.586596570786504,11.658949683863497,110.53667810994425
44.37712470759027,41.45019468848276,36.09543211646016,29.39126245808358,9.612347722454393,154.38459583499974
39.87168879665576,36.88635429223895,29.943097026481265,37.567248716210656,9.470970317378779,140.11655087393925
53.142473325952736,45.87311550376036,41.062321158599225,33.154058422773886,5.992275271186493,131.6184417342945
40.91975924478789,37.02644793116755,31.774765471247353,24.879065878353977,11.270836060418453,130.6028180620368
35.87696298664709,33.792040934725954,29.974068228523418,39.27046283167094,7.521483210293055,110.23799169057045
64.65648768921554,54.85202835805124,53.29369661547893,36.10516847762676,10.119865260532656,215.52627568463024
47.74223699513465,44.054733680381055,36.472689584291984,32.910488517343076,10.554753875916383,219.3871352961437
50.67528204687924,44.28250632429962,40.467161860720445,28.86757950575084,12.721317191677302,173.80926920299922
35.75251813786544,33.31846366126521,35.02882558612794,25.202803816382602,7.382359201761776,113.58836259833966
44.556172754748175,38.574037166188326,40.827567714100674,28.138966119644735,3.9609756883583493,166.17403136361196
51.10922589709866,42.38853910605976,42.196351726701025,35.443743098520926,10.36769908950739,180.7033069847407
38.490064225776976,31.385972927432956,30.906061815126183,39.42293152967304,13.601022363021707,143.58354825120426
53.75698018345672,48.47745205843381,43.365678126920166,37.71621764136094,12.477892705878874,192.26606123536402
43.99361310081195,40.11369679417371,37.03544439884081,27.55575289106863,10.419318830549251,186.88958704456098
47.083062502067236,40.5661230016517,34.598072306058576,24.401912833554945,9.016727628735905,130.83237521646086
43.98293387770603,40.86182540749018,34.41421748989479,30.70443123455602,11.61424519327462,156.77365878662516
68.52278184508938,58.347463536042525,49.81247325443874,21.157803172185744,8.052907600591062,197.61962452173026
49.86502775262066,44.74636538006396,41.089691569912375,31.615838570923906,10.952715538712438,176.5132554701689
39.422890710440996,33.05856923987198,33.47990038746102,29.261987068506656,11.010940318333255,114.52593543585444
58.225449121031886,51.09923199332438,45.13079990992739,27.66981749065879,12.12041981499776,180.16391983632334
37.791563500289776,34.10720449289363,34.95521109010192,22.02648466366602,15.519320077822155,118.4861345479442
52.08863595004755,45.15894562447489,37.99361177103102,32.568000532848586,10.784831934357534,192.06624250346115
30.403298761202244,26.59385779662237,19.929514368332335,27.336495801690443,8.982072748585002,123.24723306330021
36.71813951101569,35.058911178343,30.047867064492472,24.15041582144856,9.94885137561601,97.31527891484367
51.96861235869123,45.61796738377581,44.71618479478945,15.638688933591753,6.4618481902217635,164.82386376286655
57.38466579995411,53.31758344408898,50.95951571433689,29.862425474746818,8.610573737821884,172.89361304225227
51.7136828118997,44.28290082139449,39.99429346091294,38.86125798334872,9.181435123773792,149.40157921386677
48.843517176117594,45.0187738143364,42.31085624118796,38.30629607273935,8.951823204130815,161.34335855623507
46.98896304410711,45.1732039810122,37.47564502678357,27.714518717068643,10.304709744067445,148.65449272173927
35.214780096325725,26.750013086438578,27.65394217723812,26.988939698191096,8.355160135235598,167.67313986498317
42.801557916052914,36.92761161350667,36.892226145302345,32.34387128037512,12.242061334648943,153.23580589556025
45.393612290402125,42.00839531572299,38.27185846756196,25.008072804058543,10.000414129836393,121.1325232581509
60.57122226218915,54.10800926388425,43.72780133879857,31.50895949909733,9.981399357722772,186.17266645269726
53.43618289568462,48.83485635285877,47.178567365725385,33.83040139192345,9.344210566974164,197.65141529160354
32.36959844637266,27.924668228303755,30.035952819540487,36.13466611942154,10.310381367717959,156.94498385622725
53.24083969394795,48.089935299498954,40.715983650629774,29.499229617600236,11.65019652933527,142.7524676458848
46.149177195836835,41.222905005468995,38.106752356981694,28.98163124911517,8.2657395685782,115.3398595092872
43.23077999694041,41.243266120565984,36.06671455640055,25.610087066217194,8.683767021849487,179.91668703136548
56.11676288840868,51.013928286170234,45.67543160819867,25.8655982298007,9.39254794244667,189.07537132754445
60.30999522495951,54.954201026613966,46.59708071843135,28.867605540492367,7.30825815305357,177.9979338075974
59.31280119116199,52.55776713980086,45.435370849115436,31.83682753408089,8.361484280557004,204.5493990629751
41.607824767773614,36.471829842851264,33.20959760124456,34.567923131166246,9.047558252910681,89.3924810885664
46.907876241487855,41.35197224169983,41.044488050968376,25.984105246598276,11.748778361425455,153.78319147970592
53.31263431403564,48.77027516738867,44.28090791501181,37.46344284479761,10.52512265800385,185.22604782136742
59.75545127122359,52.93793718246071,46.692518020720556,28.644381994787157,10.387179822735089,212.07394760182098
45.2082576215471,41.26698157318522,38.481702229182716,29.89316352825782,11.701795924335944,130.29343558291947
48.14341023336183,47.47987080731652,29.969100324799243,26.263941604260882,9.725256423201207,159.2759447302831
38.93665025993972,36.785234640809136,34.59561730906808,17.878798698635293,10.78092969985778,107.24085760794506
38.037933759193294,33.582093318938284,25.211205671020338,34.42022698180525,9.793556494135007,136.43158988196885
58.125258223941984,54.71516024587567,45.4128837549442,33.684219485462165,10.530724698799258,173.31095796729656
63.56240028570823,56.390009511094306,47.490910544688155,28.593362214408934,8.834482684776836,196.82186518112474
